algorithm;class;metric;mse;C;n;value_fact;value_theory;is_steps
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1900;6.698537999999999E-06;6.720760483679614E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;1950;6.88944E-06;6.897622601671184E-06;0
Полином (Горнер);O(n);seconds;2.1901462593652634E-16;3.537242359831376E-09;2000;7.065143333333333E-06;7.074484719662752E-06;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;50;2.7119999999999998E-05;4.161148490138253E-06;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;100;2.7119999999999998E-05;1.664459396055301E-05;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;150;5.74E-05;3.7450336411244275E-05;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;200;9.125E-05;6.657837584221205E-05;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;250;0.00012989999999999999;0.00010402871225345633;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;300;0.00021436666666666666;0.0001498013456449771;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;350;0.00022810000000000001;0.0002038962760167744;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;400;0.00029515;0.0002663135033688482;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;450;0.0004146666666666667;0.0003370530277011985;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;500;0.0004984000000000001;0.0004161148490138253;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;550;0.0005964000000000001;0.0005034989673067286;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;600;0.0007045;0.0005992053825799084;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;650;0.0007982400000000001;0.0007032340948333647;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;700;0.0009793;0.0008155851040670976;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;750;0.0010043399999999998;0.000936258410281107;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;800;0.0010839;0.0010652540134753927;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;850;0.001267825;0.001202571913649955;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;900;0.0014060799999999999;0.001348212110804794;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;950;0.0014711000000000001;0.0015021746049399094;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1000;0.001618375;0.0016644593960553013;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1050;0.00193224;0.0018350664841509697;0
Сортировка пузырьком;O(n^2);seconds;1.898598558126596E-08;1.6644593960553013E-09;1100;0.0021720600000000004;0.0020139958692269146;0
